sys_RespNum,d,MXD_1_b,MXD_1_w,MXD_2_b,MXD_2_w,MXD_3_b,MXD_3_w,MXD_4_b,MXD_4_w,MXD_5_b,MXD_5_w,MXD_6_b,MXD_6_w,MXD_7_b,MXD_7_w,MXD_8_b,MXD_8_w,MXD_9_b,MXD_9_w,MXD_10_b,MXD_10_w,MXD_11_b,MXD_11_w,MXD_12_b,MXD_12_w,MXD_13_b,MXD_13_w,MXD_14_b,MXD_14_w,MXD_15_b,MXD_15_w,MXD_16_b,MXD_16_w,MXD_17_b,MXD_17_w,MXD_18_b,MXD_18_w,sys_MXDDesignID_MXD,nKOP1,nKOP2,nKOP3,nKOP4,nKOP5,nKOP6,nKOP7,nKOP8,nKOP9,nKOP10,nKOP11,nKOP12,nKOP13,weegvar
1690,411112416,40,12,19,2,7,18,9,20,25,26,6,12,16,13,10,30,15,17,8,19,3,18,7,33,2,30,10,34,3,11,20,12,10,17,9,38,MXD1_1753104514_5,1,5,1,2,4,3,4,3,9,2,2,1,2,.88246624313761
1360,411112417,4,35,3,12,2,28,19,24,16,26,5,31,3,38,10,30,6,17,36,15,2,20,5,27,23,28,37,18,10,26,6,36,3,7,13,30,MXD1_1753104514_5,2,5,2,5,4,3,6,3,9,2,2,1,2,.757315478001565
1488,411112429,6,23,7,11,36,12,4,25,10,17,9,26,20,24,16,27,7,12,36,23,6,39,15,17,9,13,2,29,4,26,5,19,6,24,16,37,MXD1_1753104514_5,2,5,1,5,6,1,4,4,3,2,2,1,2,.757315478001565
190,411112437,40,26,2,19,22,29,9,31,39,26,6,12,16,34,6,33,15,36,16,19,3,18,7,27,2,30,10,24,40,11,14,31,10,13,9,8,MXD1_1753104514_5,2,5,1,2,3,3,6,3,3,2,2,2,2,.971967190580289
1572,411112439,3,9,10,26,4,24,2,14,15,29,9,12,1,25,16,28,22,18,14,30,15,24,1,28,22,25,4,11,3,18,6,27,17,26,16,25,MXD1_1753104514_5,1,5,1,5,7,3,6,3,11,2,2,1,1,.686049367051532
2030,411112445,30,23,6,40,32,39,33,28,37,29,14,17,40,12,35,19,15,25,34,26,6,29,16,19,14,4,7,28,32,35,2,25,16,24,15,26,MXD1_1753104514_5,1,5,2,4,4,2,3,6,11,2,2,2,2,.88246624313761
232,411112447,21,26,4,27,37,19,7,13,32,12,15,30,5,24,4,35,6,19,16,26,40,27,6,24,5,7,22,25,14,23,2,13,40,18,5,17,MXD1_1753104514_5,1,5,2,4,1,99999997,6,2,5,2,2,1,2,.686049367051532
1479,411112464,38,18,28,39,17,5,30,35,22,32,12,14,27,16,3,38,1,24,28,13,11,36,22,5,16,8,4,13,11,36,23,20,39,28,18,13,MXD1_1753104514_5,1,5,2,4,6,3,4,2,5,2,1,1,1,.88246624313761
360,411112470,10,8,18,32,24,31,27,16,7,21,4,33,10,23,2,28,27,26,18,15,1,16,24,35,14,36,13,23,37,2,17,30,27,18,22,12,MXD1_1753104514_5,1,5,2,2,1,3,4,3,9,2,2,1,1,.686049367051532
1825,411112475,10,38,23,26,15,37,25,11,13,19,32,35,16,26,6,17,23,36,12,38,16,20,6,35,9,39,15,18,8,26,7,28,13,32,9,20,MXD1_1753104514_5,2,5,1,1,3,3,2,6,10,2,2,1,1,.971967190580289
