respondent_id,loglik,n_events,rlh
744,-35.574557,36,0.372253
745,-50.505659,36,0.245874
746,-45.462466,36,0.282848
747,-50.450186,36,0.246253
748,-47.418634,36,0.267889
749,-35.470883,36,0.373326
750,-37.062491,36,0.357181
751,-30.382657,36,0.430003
752,-35.806745,36,0.369860
753,-122.117768,36,0.033636
754,-67.594695,36,0.152952
755,-50.717080,36,0.244435
756,-58.737823,36,0.195615
757,-50.415437,36,0.246491
759,-35.475553,36,0.373278
760,-35.589131,36,0.372102
761,-59.183692,36,0.193207
763,-58.365159,36,0.197651
765,-58.868618,36,0.194906
766,-69.301931,36,0.145868
768,-51.949667,36,0.236207
771,-35.670848,36,0.371258
772,-35.885586,36,0.369050
773,-105.180119,36,0.053844
774,-35.901645,36,0.368886
775,-50.359927,36,0.246872
776,-174.334348,36,0.007886
777,-38.731955,36,0.340995
778,-58.841094,36,0.195055
779,-52.278159,36,0.234062
780,-45.822509,36,0.280033
782,-35.831083,36,0.369610
783,-40.820894,36,0.321771
784,-204.359659,36,0.003425
785,-59.450908,36,0.191779
786,-50.212475,36,0.247885
787,-35.988356,36,0.367998
788,-58.250132,36,0.198283
789,-59.005167,36,0.194168
790,-60.759552,36,0.184932
791,-52.263713,36,0.234156
792,-36.048848,36,0.367381
793,-203.389538,36,0.003519
795,-39.571485,36,0.333135
796,-35.551995,36,0.372486
797,-35.268994,36,0.375426
798,-39.095991,36,0.337564
799,-50.144155,36,0.248356
800,-35.655926,36,0.371412
801,-97.724611,36,0.066233
802,-46.324593,36,0.276155
803,-50.476461,36,0.246074
804,-36.095059,36,0.366909
805,-35.663624,36,0.371333
806,-35.916776,36,0.368731
807,-30.696754,36,0.426268
808,-47.474335,36,0.267474
809,-50.513411,36,0.245821
810,-50.710840,36,0.244477
811,-59.676207,36,0.190582
812,-35.879394,36,0.369114
813,-121.672788,36,0.034054
814,-59.118839,36,0.193556
815,-30.155264,36,0.432728
816,-37.215427,36,0.355666
817,-35.612544,36,0.371860
818,-52.177357,36,0.234718
819,-52.127823,36,0.235041
820,-58.072439,36,0.199264
825,-39.862983,36,0.330448
826,-45.381773,36,0.283483
827,-59.295861,36,0.192606
828,-30.376056,36,0.430082
829,-68.110070,36,0.150778
831,-39.268530,36,0.335950
832,-35.614734,36,0.371838
833,-58.609925,36,0.196311
834,-58.893205,36,0.194773
835,-60.378005,36,0.186903
836,-46.037422,36,0.278366
837,-61.090900,36,0.183238
838,-58.913707,36,0.194662
839,-36.849320,36,0.359302
840,-40.652309,36,0.323282
841,-35.663327,36,0.371336
842,-50.609529,36,0.245166
843,-106.460410,36,0.051962
844,-35.478689,36,0.373245
845,-30.546015,36,0.428056
846,-35.966382,36,0.368223
847,-36.827457,36,0.359520
849,-39.050491,36,0.337991
851,-201.201212,36,0.003739
852,-45.971177,36,0.278879
853,-122.206601,36,0.033553
854,-68.907834,36,0.147474
855,-122.464179,36,0.033314
856,-67.875463,36,0.151764
857,-50.364961,36,0.246837
859,-59.186837,36,0.193190
860,-58.366187,36,0.197645
861,-49.511249,36,0.252761
862,-68.335269,36,0.149838
863,-39.563652,36,0.333207
864,-36.060177,36,0.367265
865,-52.428362,36,0.233087
866,-38.825669,36,0.340108
867,-35.422079,36,0.373833
868,-58.176461,36,0.198689
869,-47.375472,36,0.268210
870,-45.950926,36,0.279036
871,-68.023701,36,0.151140
872,-30.464943,36,0.429021
873,-39.818168,36,0.330860
874,-174.935402,36,0.007756
875,-46.070091,36,0.278114
876,-35.904178,36,0.368860
877,-47.204632,36,0.269486
878,-106.144463,36,0.052421
879,-35.757780,36,0.370363
880,-50.754937,36,0.244178
881,-57.959633,36,0.199890
882,-50.898942,36,0.243203
883,-67.836283,36,0.151929
886,-50.119642,36,0.248525
887,-49.929707,36,0.249840
888,-122.909190,36,0.032905
890,-35.695984,36,0.370999
891,-36.968813,36,0.358111
892,-40.782011,36,0.322119
893,-68.368802,36,0.149698
894,-35.965656,36,0.368231
895,-175.240093,36,0.007690
896,-35.415391,36,0.373902
897,-59.239972,36,0.192906
899,-39.342287,36,0.335263
905,-50.572199,36,0.245420
908,-106.474906,36,0.051942
910,-36.712672,36,0.360668
911,-36.050608,36,0.367363
912,-35.259328,36,0.375527
913,-61.049431,36,0.183449
914,-40.917708,36,0.320907
915,-35.301052,36,0.375092
916,-59.207630,36,0.193079
917,-50.294519,36,0.247321
919,-203.519603,36,0.003506
920,-122.489666,36,0.033290
921,-35.659673,36,0.371374
923,-39.098084,36,0.337545
924,-35.756987,36,0.370371
925,-47.695490,36,0.265836
926,-45.868420,36,0.279676
927,-47.506404,36,0.267236
928,-61.001610,36,0.183693
929,-30.812240,36,0.424903
930,-40.665859,36,0.323160
931,-40.535168,36,0.324335
932,-50.692131,36,0.244604
933,-59.283547,36,0.192672
934,-47.637266,36,0.266267
935,-58.347068,36,0.197750
936,-51.995259,36,0.235908
937,-52.366230,36,0.233490
938,-47.426093,36,0.267833
939,-50.081756,36,0.248787
940,-49.942587,36,0.249750
941,-49.995070,36,0.249386
942,-50.824359,36,0.243707
944,-106.591275,36,0.051774
945,-38.804113,36,0.340312
946,-58.321381,36,0.197891
947,-69.102300,36,0.146679
948,-69.039881,36,0.146934
949,-104.774571,36,0.054454
952,-40.561829,36,0.324095
953,-45.206691,36,0.284865
954,-69.087760,36,0.146738
955,-47.960972,36,0.263883
957,-202.990865,36,0.003558
958,-52.395904,36,0.233297
959,-35.305315,36,0.375047
960,-45.459565,36,0.282871
961,-39.491879,36,0.333872
962,-59.349130,36,0.192321
963,-35.807771,36,0.369849
966,-58.224956,36,0.198422
967,-39.638847,36,0.332512
968,-46.113770,36,0.277777
969,-50.732165,36,0.244332
970,-38.922644,36,0.339193
971,-39.734135,36,0.331633
972,-68.166045,36,0.150544
974,-47.718522,36,0.265666
975,-60.819597,36,0.184624
976,-68.329641,36,0.149861
977,-46.088986,36,0.277968
978,-49.990889,36,0.249415
979,-50.488318,36,0.245993
980,-47.358840,36,0.268334
981,-46.387938,36,0.275669
982,-50.876223,36,0.243356
984,-47.776503,36,0.265239
985,-39.010392,36,0.338368
986,-45.052190,36,0.286090
987,-50.790630,36,0.243936
988,-36.988170,36,0.357919
989,-35.814795,36,0.369777
990,-49.936160,36,0.249795
991,-47.486858,36,0.267381
992,-58.338902,36,0.197795
993,-49.986434,36,0.249446
994,-45.862170,36,0.279725
996,-122.410263,36,0.033364
997,-68.838893,36,0.147756
999,-123.211291,36,0.032630
1000,-31.024933,36,0.422400
1001,-39.651589,36,0.332394
1002,-50.149534,36,0.248319
1003,-45.509147,36,0.282481
1005,-59.139063,36,0.193447
1007,-58.900327,36,0.194734
1008,-52.194316,36,0.234607
1009,-35.500659,36,0.373018
1010,-45.945927,36,0.279075
1011,-35.623099,36,0.371751
1012,-40.864201,36,0.321385
1013,-58.608851,36,0.196317
1014,-50.703075,36,0.244530
1016,-107.158870,36,0.050964
1017,-58.551863,36,0.196628
1019,-47.568011,36,0.266779
1020,-38.904784,36,0.339362
1021,-35.896597,36,0.368938
1022,-69.377733,36,0.145561
1024,-30.959814,36,0.423164
1025,-46.104694,36,0.277847
1026,-39.576816,36,0.333086
1027,-59.087921,36,0.193722
1028,-61.085501,36,0.183265
1029,-39.349126,36,0.335199
1030,-68.541576,36,0.148982
1031,-30.312383,36,0.430843
1032,-35.842810,36,0.369489
1033,-35.683500,36,0.371128
1034,-46.247035,36,0.276750
1035,-30.644078,36,0.426892
1036,-61.176986,36,0.182800
1037,-35.986299,36,0.368019
1038,-40.965821,36,0.320479
1039,-50.888478,36,0.243274
1040,-47.389145,36,0.268108
1041,-57.902719,36,0.200206
1042,-35.513101,36,0.372889
1043,-35.702557,36,0.370932
1046,-50.795578,36,0.243902
1047,-35.610357,36,0.371883
1048,-35.235904,36,0.375771
1049,-30.652099,36,0.426797
1050,-36.923311,36,0.358564
1051,-49.676541,36,0.251603
1052,-47.423833,36,0.267850
1053,-35.483074,36,0.373200
1054,-58.326122,36,0.197865
1055,-35.737746,36,0.370569
1056,-30.653375,36,0.426782
1057,-35.835101,36,0.369568
1059,-50.352267,36,0.246924
1060,-30.371387,36,0.430138
1061,-40.360209,36,0.325916
1062,-69.341797,36,0.145706
1063,-60.481386,36,0.186367
1064,-35.435468,36,0.373694
1065,-35.988360,36,0.367998
1067,-105.199811,36,0.053814
1068,-35.916305,36,0.368736
1069,-58.932849,36,0.194558
1070,-49.913922,36,0.249949
1071,-174.901196,36,0.007763
1072,-36.989936,36,0.357901
1073,-40.866367,36,0.321365
1074,-58.368082,36,0.197635
1075,-41.104874,36,0.319243
1076,-60.779037,36,0.184832
1077,-35.686697,36,0.371095
1078,-35.920598,36,0.368692
1079,-61.394342,36,0.181700
1080,-45.448710,36,0.282956
1081,-35.887310,36,0.369033
1083,-70.559784,36,0.140859
1084,-61.110820,36,0.183137
1085,-59.578043,36,0.191102
1086,-38.828514,36,0.340082
1087,-47.780619,36,0.265208
1088,-36.051288,36,0.367356
1089,-69.371184,36,0.145588
1090,-46.397785,36,0.275594
1091,-47.335543,36,0.268508
1092,-47.524217,36,0.267104
1093,-35.637661,36,0.371601
1094,-59.583666,36,0.191073
1099,-50.804544,36,0.243841
1102,-39.108991,36,0.337442
1103,-30.839881,36,0.424576
1104,-35.928718,36,0.368609
1105,-35.810407,36,0.369822
1106,-36.078350,36,0.367080
1107,-31.047380,36,0.422136
1108,-35.615535,36,0.371829
1110,-104.457468,36,0.054935
1111,-50.319605,36,0.247148
1113,-58.162651,36,0.198766
1114,-35.948832,36,0.368403
1115,-36.003211,36,0.367847
1116,-52.400682,36,0.233266
1117,-35.961628,36,0.368272
1118,-35.803018,36,0.369898
1120,-59.296393,36,0.192603
1121,-68.578936,36,0.148827
1124,-39.242292,36,0.336195
1125,-35.808473,36,0.369842
